"Relative Time","Dynamic_ID_Transaction","Dynamic_Table_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","2.011"
"00:16","","","","1.944"
"00:32","","","","1.991"
"00:48","","","","1.956"
"00:56","","","","2.003"
"01:12","","1.244","","1.763"
"01:20","0.489","","",""
"01:28","","1.229","","1.973"
"01:36","0.493","","",""
"01:44","","1.253","","1.743"
"01:52","0.524","1.23","",""
"02:00","","","","1.952"
"02:08","0.489","","",""
"02:24","","6.044","",""
"02:32","0.492","1.233","",""
"02:40","0.522","1.241","",""
"02:48","0.483","1.246","",""
"02:56","0.506","1.218","",""
"03:04","0.479","1.259","",""
"03:12","0.506","1.214","",""
"03:20","0.501","1.329","",""
"03:28","0.495","","",""
"03:44","","1.245","",""
"03:52","0.49","1.234","",""
"04:00","0.503","1.263","",""
"04:08","0.482","1.273","0",""
"04:16","0.493","1.264","",""
"04:24","0.986","1.234","",""
"04:32","0.485","1.267","",""
"04:40","0.492","1.248","",""
"04:48","0.51","","",""
"05:12","","8.608","",""
"05:20","","1.241","",""
"05:28","0.496","1.244","",""
"05:36","0.487","1.709","",""
"05:44","0.497","1.267","0",""
"05:52","0.494","1.269","",""
"06:00","0.487","1.275","0",""
"06:08","0.493","","0",""
"06:32","","1.282","",""
"06:48","0.514","5.919","0",""
"07:04","0.49","1.252","0",""
"07:12","0.503","1.246","",""
"07:28","0.488","","",""
"08:24","","2.233","",""
"08:32","0.495","","0",""
"08:40","","1.257","",""
"08:48","0.483","","0",""
